NodeId	BscFunctionId	BscMId	GeranCellMId	GeranCellId	GeranCellRelationId	awOffset	bqOffset	bqOffsetAfr	cand	cs	hiHyst	kHyst	kOffset	lHyst	lOffset	loHyst	offset	tRHyst	tROffset
TO3BSC1	1	1	1	T54MP2	T12M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP2	T12MA1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP2	T55MJ2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP1	T54M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP1	T54M2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP1	T54MP3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP1	T54MP2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP1	T12M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP1	T12MA1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP1	T12MS1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP1	T55MJ2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
